Afghanistan,34.575503,69.240073
Albania,41.327546,19.818698
Algeria,36.752887,3.042048
American Samoa,-14.275632,-170.702036
Andorra,42.506317,1.521835
Angola,-8.839988,13.289437
Antigua and Barbuda,17.12741,-61.846772
Argentina,-34.603684,-58.381559
Armenia,40.179186,44.499103
Australia,-35.282,149.128684
Austria,48.208174,16.373819
Azerbaijan,40.409262,49.867092
The Bahamas,25.047984,-77.355413
Bahrain,26.228516,50.58605
Bangladesh,23.810332,90.412518
Barbados,13.113222,-59.598809
Belarus,53.90454,27.561524
Belgium,50.85034,4.35171
Belize,17.251011,-88.75902
Benin,6.496857,2.628852
Bermuda,32.294816,-64.781375
Bhutan,27.472792,89.639286
Bolivia,-16.489689,-68.119294
Bosnia and Herzegovina,43.856259,18.413076
Botswana,-24.628208,25.923147
Brazil,-15.794229,-47.882166
Brunei,4.903052,114.939821
Bulgaria,42.697708,23.321868
Burkina Faso,12.371428,-1.51966
Burundi,-3.361378,29.359878
Cambodia,11.544873,104.892167
Cameroon,3.848033,11.502075
Canada,45.42153,-75.697193
Cape Verde,14.93305,-23.513327
Central African Republic,4.394674,18.55819
Chad,12.134846,15.055742
Chile,-33.44889,-70.669265
China,39.904211,116.407395
Colombia,4.710989,-74.072092
Comoros,-11.717216,43.247315
Democratic Republic of the Congo,-4.441931,15.266293
Congo,-4.26336,15.242885
Costa Rica,9.928069,-84.090725
Cote d'Ivoire,6.827623,-5.289343
Croatia,45.815011,15.981919
Cuba,23.05407,-82.345189
Cyprus,35.185566,33.382276
Czech Republic,50.075538,14.4378
Denmark,55.676097,12.568337
Djibouti,11.572077,43.145647
Dominica,15.309168,-61.379355
Dominican Republic,18.486058,-69.931212
Ecuador,-0.180653,-78.467838
Egypt,30.04442,31.235712
El Salvador,13.69294,-89.218191
Equatorial Guinea,3.750412,8.737104
Eritrea,15.322877,38.925052
Estonia,59.436961,24.753575
Ethiopia,8.980603,38.757761
Fiji,-18.124809,178.450079
Finland,60.173324,24.941025
France,48.856614,2.352222
Gabon,0.416198,9.467268
The Gambia,13.454876,-16.579032
Georgia,41.715138,44.827096
Germany,52.520007,13.404954
Ghana,5.603717,-0.186964
